,Year,State,AverageMathScore,AverageReadingScore,StudentsEnrolled,TotalFunding,DollarsPerStudent,Abbreviation
0,2003,West Virginia,270.7703534,259.5642379,281591.0,2497707.0,8.869981640038212,WV
1,2003,Arizona,271.1773505,255.3201152,875111.0,6529894.0,7.461789418713741,AZ
2,2003,Colorado,283.3998585,267.5926409,751049.0,6297242.0,8.384595412549647,CO
3,2003,Kentucky,274.2784722,266.1914352,660782.0,4872025.0,7.373120030509305,KY
4,2003,Virginia,281.6766434,268.0048171,1175458.0,10504167.0,8.936233366058167,VA
5,2003,Oklahoma,271.9051513,261.719961,624202.0,4426835.0,7.091991054177974,OK
6,2003,South Carolina,277.3004496,258.0889914,691736.0,5709707.0,8.254170666265743,SC
7,2003,North Carolina,281.2403506,261.7116448,1314632.0,9907235.0,7.536127981062381,NC
8,2005,West Virginia,269.0994928,255.0733796,279456.0,2701056.0,9.665407076605977,WV
9,2005,Virginia,284.3716282,267.8089667,1203697.0,12182657.0,10.121032950983512,VA
10,2005,South Carolina,281.2343211,257.1691046,701176.0,6337711.0,9.038687861535477,SC
11,2005,Oklahoma,271.3599024,259.63136,629145.0,4892548.0,7.776503031892489,OK
12,2005,North Carolina,281.8251366,258.1601855,1347177.0,11098165.0,8.23808972391898,NC
13,2005,Kentucky,273.9830272,263.9384184,674502.0,5444309.0,8.071598008604868,KY
14,2005,Colorado,280.8240073,264.7581061,765388.0,6910296.0,9.028487512216026,CO
15,2005,Arizona,274.30509,254.7879382,919875.0,7550109.0,8.207755401549123,AZ
16,2007,Arizona,275.5484264,254.8287924,969875.0,8724434.0,8.995421059414873,AZ
17,2007,Colorado,286.1927562,266.4078816,790211.0,7689014.0,9.730330253565187,CO
18,2007,Kentucky,278.7047499,261.965951,646360.0,6226696.0,9.633479794541742,KY
19,2007,Oklahoma,274.5349894,259.5472252,639032.0,5491931.0,8.594140825498567,OK
20,2007,South Carolina,281.5036015,257.4212028,701580.0,7130274.0,10.163165996750193,SC
21,2007,Virginia,287.625905,266.8787375,1220440.0,14176385.0,11.61579840057684,VA
22,2007,North Carolina,283.8806688,259.1367031,1416028.0,13063307.0,9.225316872265237,NC
23,2007,West Virginia,270.0840936,254.9985524,281298.0,2905489.0,10.328864762636066,WV
24,2009,Arizona,277.332282,257.5952755,981303.0,8802515.0,8.970231416799908,AZ
25,2009,West Virginia,270.4157659,254.7997475,281908.0,3097212.0,10.986605559260468,WV
26,2009,Virginia,286.069755,265.6419817,1235064.0,15251481.0,12.34873739336585,VA
27,2009,South Carolina,280.3808554,257.2741846,714290.0,7669733.0,10.737561774629352,SC
28,2009,Oklahoma,275.7119568,259.495771,644549.0,6029807.0,9.355079287998274,OK
29,2009,North Carolina,284.3326353,259.5284866,1452064.0,15410564.0,10.612868303325474,NC
30,2009,Kentucky,279.2842161,266.8540198,669858.0,6706922.0,10.012453385642928,KY
31,2009,Colorado,287.3729075,265.5131199,812068.0,8310673.0,10.233961934222258,CO
32,2011,West Virginia,273.2631731,256.1068616,282130.0,3475642.0,12.319292524722645,WV
33,2011,South Carolina,281.0001337,260.3070199,713511.0,7772777.0,10.893703110393533,SC
34,2011,Oklahoma,279.1796082,260.1212646,658163.0,5835133.0,8.865787046673848,OK
35,2011,North Carolina,286.2670282,262.9289563,1448117.0,14409515.0,9.950518500922232,NC
36,2011,Kentucky,281.6088097,268.8339636,672958.0,7104589.0,10.55725468751393,KY
37,2011,Colorado,291.7426729,270.6362043,834832.0,8747471.0,10.478121346570328,CO
38,2011,Arizona,279.0335017,260.1480052,946571.0,8429186.0,8.904969621930103,AZ
39,2011,Virginia,289.2554112,267.2728912,1250852.0,14655345.0,11.716290176615619,VA
40,2013,Arizona,279.722268,260.4482872,941726.0,8164324.0,8.669532326812682,AZ
41,2013,Colorado,289.6818001,271.0090869,851063.0,8826868.0,10.371580012290512,CO
42,2013,Kentucky,280.6454425,269.6164717,685009.0,7216175.0,10.534423635309901,KY
43,2013,South Carolina,279.8246086,261.4490507,722249.0,8254462.0,11.428831331022957,SC
44,2013,Oklahoma,275.506732,261.9314952,671445.0,5878111.0,8.754419200381268,OK
45,2013,Virginia,288.1429595,267.5898643,1264880.0,15322318.0,12.113653469103788,VA
46,2013,West Virginia,274.4301347,257.3835093,282310.0,3486366.0,12.349424391626226,WV
47,2013,North Carolina,285.6453884,264.5409997,1468228.0,12729402.0,8.669908215890175,NC
48,2015,Colorado,285.5391887,268.0732253,872320.0,9648297.0,11.06050188004402,CO
49,2015,Arizona,282.9194894,262.7693918,944978.0,8230507.0,8.709733983225007,AZ
50,2015,Kentucky,277.9472601,267.7729001,688475.0,7548871.0,10.96462616652747,KY
51,2015,Virginia,287.7092987,266.8360535,1279867.0,15857524.0,12.38997802115376,VA
52,2015,Oklahoma,274.5859821,262.6731459,671715.0,6121188.0,9.112775507469685,OK
53,2015,South Carolina,275.8278662,260.3314228,737401.0,8759944.0,11.879484839320805,SC
54,2015,West Virginia,271.4507088,260.1852726,279565.0,3478401.0,12.442190546026863,WV
55,2015,North Carolina,281.3310911,260.5945566,1465031.0,13146934.0,8.973826492408692,NC
56,2017,West Virginia,273.4158536,258.7003036,273170.0,3476338.0,12.725914265841784,WV
57,2017,Virginia,290.0814074,267.7447785,1286711.0,16529157.0,12.846052454669309,VA
58,2017,South Carolina,274.6738211,259.7530024,747868.0,9726983.0,13.006283194360503,SC
59,2017,Oklahoma,274.6888834,261.2369335,669462.0,6165537.0,9.209689272878819,OK
60,2017,North Carolina,281.9260284,262.7204769,1457600.0,13975840.0,9.588254665203074,NC
61,2017,Kentucky,277.7141618,265.133438,683864.0,7917769.0,11.577987728554216,KY
62,2017,Colorado,286.2477175,270.3386885,885492.0,10383949.0,11.726756424676903,CO
